team_name,bg_color,text_color,id,created_date,updated_date,created_by_id,created_by,is_sample
"א.ס רמה""ש ירק השדה","#000000","#FFFFFF","68e87c4bcdce0a0a9e88f137","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי קרית גת","#0066CC","#FFFFFF","68e87c4bcdce0a0a9e88f138","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"א.ס. עירוני אשקלון","#FF8000","#FFFFFF","68e87c4bcdce0a0a9e88f139","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"אליצור יבנה","#FFFF00","#003399","68e87c4bcdce0a0a9e88f13a","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"אליצור שומרון","#003399","#FFFFFF","68e87c4bcdce0a0a9e88f13b","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"הפועל אילת","#0066CC","#FFFFFF","68e87c4bcdce0a0a9e88f13c","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"הפועל מגדל העמק/יזרעאל","#0000CC","#FFFFFF","68e87c4bcdce0a0a9e88f13d","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"הפועל נווה שאנן חיפה","#CC0000","#000000","68e87c4bcdce0a0a9e88f13e","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מ.כ עוטף דרום","#FFFFFF","#003399","68e87c4bcdce0a0a9e88f13f","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מ.ס צפת","#0033CC","#FFFFFF","68e87c4bcdce0a0a9e88f140","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי אשדוד","#FFFF00","#003399","68e87c4bcdce0a0a9e88f141","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי חיפה גיא נתן","#009900","#FFFFFF","68e87c4bcdce0a0a9e88f142","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי מעלה אדומים","#3399FF","#000066","68e87c4bcdce0a0a9e88f143","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי פתח תקווה מנדל","#000066","#FFFFFF","68e87c4bcdce0a0a9e88f144","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"מכבי רחובות","#0000CC","#FFFFFF","68e87c4bcdce0a0a9e88f145","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
"עירוני נהריה","#6600CC","#FFFFFF","68e87c4bcdce0a0a9e88f146","2025-10-10T03:23:55.158000","2025-10-10T03:23:55.158000","68e854a1d968843e5bfa1136","navonn3@gmail.com",""
