team,games_played,opp_pts,opp_pts_rank,opp_2ptm,opp_2ptm_rank,opp_2pta,opp_2pta_rank,opp_3ptm,opp_3ptm_rank,opp_3pta,opp_3pta_rank,opp_fgm,opp_fgm_rank,opp_fga,opp_fga_rank,opp_ftm,opp_ftm_rank,opp_fta,opp_fta_rank,opp_def,opp_def_rank,opp_off,opp_off_rank,opp_reb,opp_reb_rank,opp_pf,opp_pf_rank,opp_stl,opp_stl_rank,opp_to,opp_to_rank,opp_ast,opp_ast_rank,opp_blk,opp_blk_rank,opp_blka,opp_blka_rank,opp_rate,opp_rate_rank,opp_second_chance_pts,opp_second_chance_pts_rank,opp_fast_break_pts,opp_fast_break_pts_rank,opp_points_in_paint,opp_points_in_paint_rank,opp_pts_off_turnovers,opp_pts_off_turnovers_rank,opp_2pt_pct,opp_2pt_pct_rank,opp_3pt_pct,opp_3pt_pct_rank,opp_fg_pct,opp_fg_pct_rank,opp_ft_pct,opp_ft_pct_rank,opp_possessions,opp_possessions_rank
"א.ס רמה""ש ירק השדה",12,83.8,5,22.0,12,41.9,11,8.8,6,26.1,8,30.8,10,68.0,11,13.3,3,19.5,6,25.8,6,10.6,2,36.3,4,20.5,9,7.7,5,12.0,16,19.1,6,2.1,6,1.4,2,91.8,5,10.9,2,15.4,6,36.5,9,14.8,5,52.5,13,33.9,9,45.3,11,68.4,2,78.0,3
א.ס. עירוני אשקלון,12,85.4,10,22.1,14,40.2,3,8.6,5,26.2,9,30.7,9,66.4,4,15.5,12,21.5,12,25.7,5,12.2,13,37.8,6,20.6,10,8.1,13,15.7,4,20.4,9,2.5,10,2.5,12,93.8,7,12.5,13,18.0,16,40.0,15,16.8,14,54.9,16,32.8,7,46.2,15,72.1,9,79.4,9
אליצור יבנה,12,90.3,17,20.8,5,41.8,10,10.1,18,29.4,17,30.8,10,71.2,16,18.6,18,25.8,17,32.0,18,13.1,16,45.1,18,21.8,16,8.5,15,15.2,6,22.6,16,2.9,15,4.1,18,102.1,15,13.3,16,17.8,12,36.0,7,16.7,13,49.7,4,34.3,11,43.3,4,72.2,10,84.6,18
אליצור שומרון,12,85.8,11,21.4,8,42.4,13,9.7,15,29.9,18,31.1,13,72.3,18,13.9,7,19.1,5,28.9,12,12.8,15,41.7,15,23.2,18,8.4,14,12.8,15,20.2,8,2.8,12,3.1,15,92.8,6,12.2,10,13.1,3,35.5,4,15.8,9,50.5,6,32.3,4,43.0,3,72.9,14,80.8,14
הפועל אסטרל אילת,12,77.6,1,17.5,1,37.0,1,9.8,17,25.8,7,27.3,1,62.8,1,13.1,2,18.0,2,24.4,1,9.9,1,34.3,1,19.8,3,6.1,2,15.8,3,17.8,1,1.9,5,2.9,14,78.1,1,9.2,1,10.3,1,29.8,1,12.5,3,47.3,1,38.2,17,43.6,5,72.7,12,76.6,1
הפועל חיפה נווה שאנן שובל,3,93.0,18,27.3,18,47.3,18,8.3,4,24.3,3,35.7,18,71.7,17,13.3,3,18.3,3,26.7,7,14.0,18,40.7,10,20.3,6,7.0,3,11.0,18,25.7,18,0.7,1,3.3,16,108.3,18,15.7,18,13.0,2,46.7,18,16.3,10,57.7,18,34.2,10,49.8,18,72.7,12,76.7,2
הפועל מגדל העמק/יזרעאל,12,87.8,14,21.9,10,42.6,14,9.2,12,27.3,12,31.1,13,69.9,15,16.5,13,22.6,13,27.7,8,12.1,12,39.8,7,19.9,5,8.7,17,14.9,9,22.0,15,2.8,12,3.6,17,100.0,13,12.9,14,17.8,12,37.3,10,18.4,17,51.5,8,33.5,8,44.5,8,73.1,16,82.7,17
הפועל נווה שאנן חיפה,9,82.8,4,23.9,17,44.0,17,7.1,1,23.6,2,31.0,12,67.6,7,13.7,5,19.0,4,28.4,11,12.6,14,41.0,11,21.3,13,7.7,5,15.9,2,18.9,4,2.3,8,2.4,10,90.6,4,14.0,17,18.2,17,42.7,17,12.2,2,54.3,15,30.2,1,45.9,14,71.9,7,79.2,8
מ.כ עוטף דרום,12,84.0,6,21.3,7,41.4,9,9.1,10,26.2,9,30.4,8,67.7,10,14.1,8,19.5,6,29.2,13,11.8,8,41.0,11,21.8,16,7.8,8,15.0,8,21.1,11,2.8,12,2.6,13,94.5,9,13.2,15,15.6,7,39.2,14,12.1,1,51.5,8,34.6,15,45.0,9,72.2,10,79.5,10
מ.ס צפת,12,89.8,16,21.9,10,42.1,12,9.6,13,25.5,5,31.5,17,67.6,7,17.2,15,23.7,16,28.0,9,11.8,8,39.8,7,18.8,1,7.7,5,11.9,17,21.1,11,1.5,2,2.1,4,106.4,17,11.2,4,16.4,10,37.5,11,17.9,16,52.1,11,37.6,16,46.6,16,72.9,14,78.2,4
