player_name,team,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
אביב קוקוטק,א.ס. עירוני אשקלון,8,0,6.6,1.4,0.5,0.9,57.1,0.1,0.1,100.0,0.4,0.8,50.0,0.0,0.0,0.0,0.1,0.2,0.4,0.4,0.0,0.1,0.6,0.5,0.0,0.0,1.5
אביב שמעוני,הפועל מגדל העמק/יזרעאל,5,5,26.2,11.2,3.8,8.6,44.2,2.0,4.2,47.6,1.8,4.4,40.9,1.8,2.0,90.0,2.8,0.6,3.4,2.0,0.6,2.6,2.8,2.8,0.4,0.0,10.0
אבישי יטח,הפועל חיפה נווה שאנן שובל,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
אבישי יטח,הפועל נווה שאנן חיפה,3,0,1.0,0.7,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,1.0
אביתר מור יוסף,מכבי גיא נתן חיפה,3,3,29.3,12.0,3.7,6.7,55.0,0.3,0.7,50.0,3.3,6.0,55.6,1.3,1.3,100.0,1.3,1.0,2.3,1.3,1.0,1.3,1.7,1.3,0.0,0.3,11.7
אביתר מור יוסף,מכבי חיפה גיא נתן,7,2,18.6,5.0,1.7,4.7,36.4,0.6,0.9,66.7,1.1,3.9,29.6,0.4,0.6,75.0,1.1,0.0,1.1,1.0,0.6,1.4,1.6,0.6,0.0,0.0,2.0
אדוארד קושניר,"מכבי פ""ת",7,0,4.4,0.7,0.3,0.9,33.3,0.1,0.4,33.3,0.1,0.4,33.3,0.0,0.0,0.0,0.6,0.3,0.9,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.3
אוהד דקל,מ.כ עוטף דרום,9,0,13.4,4.6,1.3,3.0,44.4,1.1,1.6,71.4,0.2,1.4,15.4,1.7,2.0,83.3,1.7,0.6,2.2,0.9,0.4,0.9,2.0,2.0,0.6,0.0,5.8
אוסטין טילמן,הפועל אסטרל אילת,9,9,29.7,14.0,5.8,9.4,61.2,4.8,7.0,68.3,1.0,2.4,40.9,1.4,2.0,72.2,4.9,1.1,6.0,7.8,2.7,1.6,1.4,3.0,0.0,0.4,25.8
אופיר גולדשטיין,"מכבי פ""ת",10,3,19.1,8.3,3.7,7.4,50.0,3.7,7.4,50.0,0.0,0.0,0.0,0.9,2.1,42.9,2.3,2.2,4.5,0.5,0.5,1.4,3.5,2.7,1.0,0.4,7.3
אופק מלכה,"א.ס רמה""ש ירק השדה",10,3,27.4,10.6,3.3,8.3,39.8,0.9,1.9,47.4,2.4,6.4,37.5,1.6,1.8,88.9,0.4,0.5,0.9,1.4,0.6,0.7,1.0,1.6,0.0,0.0,8.2
אור חן,מ.ס צפת,8,3,12.6,1.1,0.4,2.5,15.0,0.4,1.0,37.5,0.0,1.5,0.0,0.4,0.4,100.0,0.9,0.8,1.6,1.0,0.9,0.4,1.2,0.5,0.0,0.4,1.0
אור פורר,אליצור יבנה,10,2,18.4,5.9,2.0,5.4,37.0,1.6,3.6,44.4,0.4,1.8,22.2,1.5,2.6,57.7,2.4,0.6,3.0,3.2,1.0,2.2,3.2,2.9,0.0,0.6,5.4
אורי חי,אליצור יבנה,10,0,18.7,8.7,2.7,4.9,55.1,0.8,1.3,61.5,1.9,3.6,52.8,1.4,2.3,60.9,1.1,0.0,1.1,0.4,0.5,1.0,2.2,2.1,0.1,0.0,6.6
אורי יאיר,עירוני נהריה,5,0,4.2,2.8,1.0,2.4,41.7,0.2,0.4,50.0,0.8,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0,1.0
אורי ירמולובסקי,מכבי רחובות,6,0,4.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,0.0,0.3,0.3,0.2,0.2,0.5,0.2,0.0,0.2,0.2
אורי נדלר,עירוני נהריה,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.5
אורי עובדיה,הפועל מגדל העמק/יזרעאל,8,0,10.0,3.9,0.9,2.8,31.8,0.6,1.9,33.3,0.2,0.9,28.6,1.9,2.0,93.8,1.4,0.9,2.2,0.5,0.1,1.2,1.8,1.4,0.8,0.1,3.8
איאן מרטינז,אליצור יבנה,9,9,31.8,17.7,6.1,13.3,45.8,4.3,8.6,50.6,1.8,4.8,37.2,3.7,5.1,71.7,5.3,0.8,6.1,4.0,1.1,2.4,2.9,4.3,0.8,0.7,19.3
