team,games_played,pts,pts_rank,pts_allowed,pts_allowed_rank,2ptm,2ptm_rank,2pta,2pta_rank,3ptm,3ptm_rank,3pta,3pta_rank,fgm,fgm_rank,fga,fga_rank,ftm,ftm_rank,fta,fta_rank,def,def_rank,off,off_rank,reb,reb_rank,pf,pf_rank,pfa,pfa_rank,stl,stl_rank,to,to_rank,ast,ast_rank,blk,blk_rank,blka,blka_rank,rate,rate_rank,second_chance_pts,second_chance_pts_rank,bench_pts,bench_pts_rank,fast_break_pts,fast_break_pts_rank,points_in_paint,points_in_paint_rank,pts_off_turnovers,pts_off_turnovers_rank,possessions,possessions_rank,2pt_pct,2pt_pct_rank,3pt_pct,3pt_pct_rank,fg_pct,fg_pct_rank,ft_pct,ft_pct_rank
"א.ס רמה""ש ירק השדה",13,86.6,9,84.1,6,21.8,7,39.4,12,8.8,9,26.6,8,30.6,8,66.0,13,16.6,6,20.9,9,29.8,2,10.2,13,40.1,7,19.8,4,20.4,10,6.1,16,13.8,8,20.8,9,1.5,17,1.9,4,100.3,6,11.6,9,20.8,11,17.1,5,37.2,9,14.0,14,78.7,12,55.5,3,32.9,13,46.4,5,79.4,1
א.ס. עירוני אשקלון,12,87.8,4,85.4,10,23.7,4,45.6,3,8.7,10,25.1,12,32.3,4,70.7,3,14.4,11,18.3,16,25.8,16,13.3,4,39.1,10,20.5,9,20.4,10,7.6,10,13.9,9,20.3,11,2.5,8,2.5,8,98.2,8,13.8,4,31.6,2,13.9,15,40.5,4,17.7,4,79.3,10,51.9,8,34.6,7,45.8,7,78.6,2
אליצור יבנה,13,87.4,6,92.6,17,24.2,3,46.8,1,8.0,16,24.0,16,32.2,5,70.8,2,15.1,8,22.7,6,29.1,4,10.5,12,39.6,8,22.2,15,21.5,3,8.8,5,14.6,12,20.5,10,4.0,1,2.9,15,95.7,10,9.7,17,20.2,12,18.2,3,42.5,3,14.3,10,84.8,1,51.6,9,33.3,11,45.4,9,66.4,17
אליצור שומרון,12,82.7,13,85.8,11,19.6,12,41.3,8,8.7,10,24.0,16,28.2,16,65.3,16,17.5,4,24.8,2,29.5,3,11.1,10,40.6,6,19.9,5,23.2,1,6.7,13,14.9,13,17.7,18,3.1,4,2.8,12,91.4,12,11.3,11,21.5,10,17.1,5,33.3,10,11.3,18,80.1,6,47.4,17,36.1,4,43.2,13,70.5,12
הפועל אסטרל אילת,12,92.2,2,77.6,1,24.8,2,44.2,4,9.2,6,25.2,11,34.0,1,69.5,6,15.1,8,20.7,10,26.0,14,12.8,6,38.8,11,19.6,3,19.8,14,9.5,1,11.1,1,21.6,7,2.9,5,1.9,4,110.7,1,14.2,3,25.6,5,16.5,7,45.0,2,20.5,1,76.9,18,56.1,2,36.3,3,48.9,1,73.0,9
הפועל חיפה נווה שאנן שובל,3,87.7,5,93.0,18,20.3,10,37.0,17,10.7,3,28.7,4,31.0,7,65.7,14,15.0,10,20.0,12,23.7,18,9.7,17,33.3,17,17.7,1,19.7,15,5.7,18,12.3,3,22.0,3,3.3,3,0.7,1,101.3,5,10.3,14,19.0,13,15.0,12,32.7,13,14.3,10,77.1,17,55.0,4,37.2,2,47.2,3,75.0,7
הפועל מגדל העמק/יזרעאל,13,87.2,7,89.7,15,21.4,8,42.1,6,9.2,6,28.2,5,30.6,8,70.3,4,16.7,5,23.0,5,27.9,8,13.9,2,41.8,4,22.2,15,20.6,8,8.3,8,16.7,17,21.5,8,3.5,2,2.8,12,95.1,11,13.5,5,29.7,3,19.2,1,38.8,7,16.8,6,83.2,2,50.8,11,32.7,14,43.5,10,72.6,10
הפועל נווה שאנן חיפה,9,86.1,11,82.8,4,17.7,18,34.3,18,11.0,2,32.9,1,28.7,11,67.2,10,17.8,3,23.3,4,25.9,15,12.1,8,38.0,13,20.0,6,21.0,5,8.9,4,13.4,6,22.0,3,2.4,9,2.3,7,98.3,7,11.9,8,12.7,18,13.6,16,32.0,16,19.6,2,78.8,11,51.5,10,33.4,10,42.6,16,76.2,5
מ.כ עוטף דרום,13,80.8,14,84.2,7,18.6,17,38.5,14,8.5,14,26.5,9,27.2,17,65.1,17,17.9,2,23.7,3,26.5,13,9.9,15,36.4,16,20.0,6,21.7,2,8.4,7,13.2,5,20.2,12,2.7,6,2.8,12,90.4,13,10.2,15,23.8,7,15.8,8,32.5,14,17.5,5,78.7,12,48.3,16,32.2,15,41.7,17,75.6,6
מ.ס צפת,12,78.1,16,89.8,16,20.0,11,37.8,16,8.6,12,28.2,5,28.6,12,66.1,12,12.3,17,17.9,18,26.6,12,11.5,9,38.1,12,22.2,15,18.7,17,6.2,15,15.7,15,19.4,13,2.1,14,1.5,2,79.9,17,10.9,12,17.2,15,12.6,18,33.2,11,13.6,15,78.1,16,52.9,7,30.4,17,43.3,11,68.8,13
