player_details_name,schedule_team_name,team_id,normalized_name,short_name
"א.ס רמה""ש ירק השדה",א.ס רמה&quot;ש ירק השדה,585,"א.ס רמה""ש ירק השדה","א.ס רמה""ש"
א.ס. אשקלון/קרית גת,א.ס. אשקלון-קרית גת,3043,מכבי קרית גת,קרית גת
א.ס. עירוני אשקלון,א.ס. עירוני אשקלון,920,א.ס. עירוני אשקלון,א.ס. עירוני אשקלון
אליצור יבנה,אליצור יבנה,168,אליצור יבנה,אליצור יבנה
אליצור שומרון,אליצור שומרון,4083,אליצור שומרון,אליצור שומרון
הפועל אילת,הפועל אילת,1278,הפועל אילת,הפועל אילת
הפועל מגדל העמק/יזרעאל,הפועל מגדל העמק-יזרעאל,2267,הפועל מגדל העמק/יזרעאל,הפועל מגדל העמק/יזרעאל
הפועל נווה שאנן חיפה,הפועל נווה שאנן חיפה,4153,הפועל נווה שאנן חיפה,הפועל חיפה
מ.כ עוטף דרום,מ.כ עוטף דרום,12645,מ.כ עוטף דרום,מ.כ עוטף דרום
מ.ס צפת,מ.ס צפת,4818,מ.ס צפת,מ.ס צפת
מכבי אשדוד,מכבי אשדוד,7261,מכבי אשדוד,מכבי אשדוד
מכבי חיפה גיא נתן,מכבי חיפה גיא נתן,69,מכבי חיפה גיא נתן,מכבי חיפה
מכבי מעלה אדומים,מכבי מעלה אדומים,3745,מכבי מעלה אדומים,מכבי מעלה אדומים
מכבי פתח תקווה מנדל,מכבי פתח תקווה מנדל,42,מכבי פתח תקווה מנדל,מכבי פתח תקווה
מכבי רחובות,מכבי רחובות,75,מכבי רחובות,מכבי רחובות
עירוני נהריה,עירוני נהריה,26,עירוני נהריה,עירוני נהריה
